source_pdf,page,table_index,fee_name,fee_24_25,fee_25_26,gst_25_26,unit_25_26
Bayside NSW - Fees & Charges 2025-26.pdf,94,0,1.5 cubic metre bin service,$102.75,$106.90,N,Per Lift/Collection
Bayside NSW - Fees & Charges 2025-26.pdf,94,0,3.0 cubic metre bin service,$205.50,$213.80,N,Per Lift/Collection
Bayside NSW - Fees & Charges 2025-26.pdf,94,0,4.5 cubic metre bin service,$308.25,$320.70,N,Per Lift/Collection
Bayside NSW - Fees & Charges 2025-26.pdf,94,0,School Term Programs/Workshops and Holiday Program/Workshops,Price advised per activity,,Y,Per Activity
Bayside NSW - Fees & Charges 2025-26.pdf,94,0,Youth week,Price advised per activity,,Y,Per Activity
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,Additional staff member (per hour) (minimum 3 hours),$81.00,$76.55,$84.20,Additional staff member (per hour) (minimum 3 hours)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,Gazebo / reserved area hire (3 hour limit),$60.50,$57.18,$62.90,Gazebo / reserved area hire (3 hour limit)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,Swim club gazebo / reserved area hire (2 hour limit),$46.50,$44.00,$48.40,Swim club gazebo / reserved area hire (2 hour limit)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,LTS – infants lessons (direct debit),$16.50,$17.20,$17.20,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,LTS – juniors – first child (direct debit),$20.70,$21.50,$21.50,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,LTS – juniors – second child (direct debit),$19.70,$20.40,$20.40,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,LTS – juniors – third child (direct debit),$18.70,$19.40,$19.40,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,LTS – private lessons (per child),$63.00,$65.50,$65.50,LTS – private lessons (per child)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,LTS – adult lessons - 30 minute class (direct debit),$20.70,$21.50,$21.50,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,LTS – adult lessons - 45 minute class (direct debit),$23.40,$24.30,$24.30,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,LTS – adult lessons - 60 minute class (direct debit),$27.00,$28.10,$28.10,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,"LTS School program (minimum 8 students per
instructor per hour) (per student)",$6.50,$6.80,$6.80,"LTS School program (minimum 8 students per
instructor per hour) (per student)"
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,LTS School program organiser (per hour),$46.50,$48.40,$48.40,LTS School program organiser (per hour)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,LTS - holiday program,$19.70,$20.50,$20.50,LTS - holiday program
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,Adult pass – 1 month,$55.50,$52.45,$57.70,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,Adult pass – 6 month,$259.50,$245.36,$269.90,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,Child pass – 1 month,$43.00,$40.64,$44.70,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,Child pass – 6 month,$196.00,$185.27,$203.80,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,Concession pass – 1 month,$43.00,$40.64,$44.70,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,Concession pass – 6 month,$196.00,$185.27,$203.80,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,Replacement membership card,$5.30,$5.09,$5.60,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,Membership transfer,$100.00,$94.55,$104.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,59,0,"AM Boot camp (full 6 week program) (per participant)
– 18 sessions",$380.50,$359.73,$395.70,"AM Boot camp (full 6 week program) (per participant)
– 18 sessions"
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,"AM Boot camp (full 4 week program) (per participant)
– 12 sessions",$309.00,$292.18,$321.40,"AM Boot camp (full 4 week program) (per participant)
– 12 sessions"
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,"PM Boot camp (full 5 week program) (per participant)
– 10 sessions",$233.50,$220.73,$242.80,"PM Boot camp (full 5 week program) (per participant)
– 10 sessions"
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,Boot camp (per new participant) – 1 session,$19.00,$18.00,$19.80,Boot camp (per new participant) – 1 session
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,Meeting room (per hour),$26.00,$24.55,$27.00,Meeting room (per hour)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,Film or photo shoot (maximum 4 hours),"$1,378.00","$1,433.10","$1,433.10",Film or photo shoot (maximum 4 hours)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,Film or photo shoot - bond,25% of hire fee,,N,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,Photo shoot (per hour),$371.00,$385.80,$385.80,Photo shoot (per hour)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,"Lunch time tennis (per person, per hour)",$6.50,$6.18,$6.80,"Lunch time tennis (per person, per hour)"
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,Casual day hire (per hour),$21.80,$20.64,$22.70,Casual day hire (per hour)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,Casual night time hire (per hour),$32.40,$30.64,$33.70,Casual night time hire (per hour)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,Casual hire (4 hours),$56.00,$52.91,$58.20,Casual hire (4 hours)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,School hire (2 hours to 3.30 pm),$26.00,$24.55,$27.00,School hire (2 hours to 3.30 pm)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,Social / competitions (per 10 week competition),$138.00,$130.45,$143.50,Social / competitions (per 10 week competition)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,Adult programs (per 10 week term),$229.00,$216.55,$238.20,Adult programs (per 10 week term)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,"School tennis coaching (per student, per hour)",$11.30,$10.73,$11.80,"School tennis coaching (per student, per hour)"
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,60,0,Hot shots - blue,$14.00,$13.27,$14.60,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Hot shots – red,$14.00,$13.27,$14.60,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Squad - red,$19.30,$18.27,$20.10,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Hot shots – orange,$20.50,$19.36,$21.30,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Squad - orange,$27.00,$25.54,$28.10,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Hot shots – green,$20.50,$19.36,$21.30,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Squad - green,$27.00,$25.54,$28.10,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Hot shots - yellow,$20.50,$19.36,$21.30,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Squad - yellow,$27.00,$25.54,$28.10,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Group coaching,$33.50,$31.64,$34.80,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Private coaching – per half hour,$45.50,$43.00,$47.30,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Private coaching – per hour,$90.50,$85.54,$94.10,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,"Off-site school tennis coaching (per coach, per hour)",$88.00,$83.18,$91.50,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,"External coach court hire (per hour, per court) (up to a
maximum of 4 courts)",$86.50,$81.82,$90.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,"External coach court hire (per term – capped at a
maximum of 10 hours per term) (up to a maximum of
4 courts)",$618.00,$584.27,$642.70,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,"Tennis School Holiday program – up to 3 day clinics
(per student per day)",$39.20,$37.09,$40.80,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,"Tennis School Holiday program – 4 day clinic (per
student per day)",$141.00,$133.28,$146.60,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,"Tennis School Holiday program – 5 day clinic (per
student per day)",$153.50,$145.09,$159.60,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,"Kidz Blitz add-on to Tennis School Holiday program
(per student / per clinic)",$18.70,$17.64,$19.40,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Tennis Centre board room hire (per hour),$40.30,$38.18,$42.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Tennis Centre function room hire (per hour),$71.00,$67.09,$73.80,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Ball machine hire (per hour),$40.30,$38.18,$42.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Re-stringing (per racquet) plus cost of strings,$40.30,$38.18,$42.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,Racquet hire (per hour),$6.90,$6.55,$7.20,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,"Domestic – administration (service available) (per
annum)",$32.00,$33.50,$33.50,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,61,0,"Domestic - administration (service not available) (per
annum)","A nil fee will be applied where Council has imposed a
public positive covenant on the land under Section 88E of
the Conveyancing Act 1919. This covenant states that
Council is unable to provide the domestic waste
management service now and into the future",,,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,66,0,Non-residents releasing,$55.50,$52.73,$58.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,66,0,Blacktown residents,$21.00,$20.00,$22.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,66,0,Non-residents,$55.50,$52.73,$58.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,66,0,Blacktown residents surrendering their dog,$310.00,$323.00,$323.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,66,0,Non-residents surrendering their dog,$545.00,$570.00,$570.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,66,0,Blacktown residents,$416.00,$433.00,$433.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,66,0,"Blacktown residents – first pup [Pups (up to 6 months
old) at the animal facility]",$189.00,$197.00,$197.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,66,0,"Blacktown residents – subsequent pups [Pups (up to
6 months old) at the animal facility]",$106.00,$111.00,$111.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,66,0,"Non-resident – per pup [Pups (up to 6 months old) at
the animal facility]",$384.00,$400.00,$400.00,"Non-resident – per pup [Pups (up to 6 months old) at
the animal facility]"
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,66,0,"First pup [Pups (up to 6 months old) at place of
resident (Blacktown residents only)]",$253.00,$264.00,$264.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,66,0,"Subsequent pups [Pups (up to 6 months) at place of
residence (Blacktown residents only)]",$115.00,$120.00,$120.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,66,0,Blacktown residents surrendering their cat,$192.00,$200.00,$200.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,66,0,Non-residents surrendering their cat,$416.00,$433.00,$433.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,66,0,Blacktown residents,$310.00,$323.00,$323.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,112,0,"Parking (per vehicle, per day)",$69.50,$72.50,$72.50,"Parking (per vehicle, per day)"
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,112,0,Major road (half day),"$1,110.00","$1,160.00","$1,160.00",Major road (half day)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,112,0,Major road (full day),"$2,190.00","$2,280.00","$2,280.00",Major road (full day)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,112,0,Minor road (half day),$670.00,$700.00,$700.00,Minor road (half day)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,112,0,Ultra low,$0.00,$0.00,$0.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,112,0,Low,$0 to $150,,,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,112,0,Medium,$0 to $300,,,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,112,0,High,$0 to $500,,,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,112,0,Low,$0 to $100,,,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,112,0,Medium,$0 to $300,,,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,112,0,High,As per Council's existing road closure fees (refer to 3.13),,,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,112,0,Food stall,$486.00,$463.64,$510.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,112,0,Market stall,$150.00,$141.82,$156.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,129,0,"Traffic signal control of Kent Street, Blacktown (for
events over 1,000 people)","$1,020.00",$972.73,"$1,070.00",
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,129,0,Clothing recycling bins – placement approval,$590.00,$615.00,$615.00,Clothing recycling bins – placement approval
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,129,0,Clothing recycling bins – annual inspection,$270.00,$280.00,$280.00,Clothing recycling bins – annual inspection
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,129,0,"Placement of barricades / safety tape placed on or
around dangerous / abandoned articles, vehicles or
materials on public roads or public places",$419.00,$435.00,$435.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,129,0,"Signs and posters – removal of unauthorised
temporary signs and billposters (per sign or poster)",$25.00,$30.00,$30.00,"Signs and posters – removal of unauthorised
temporary signs and billposters (per sign or poster)"
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,129,0,Plus fuel cost,"Cost of fuel, plus 10% GST",,,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,130,0,Cost per tile,$406.00,$423.00,$423.00,Cost per tile
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,130,0,A4 (per page),$3.90,$4.10,$4.10,A4 (per page)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,130,0,A3 (per page),$5.00,$5.20,$5.20,A3 (per page)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,130,0,A2 (per page),$13.90,$14.50,$14.50,A2 (per page)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,130,0,A1 (per page),$15.80,$16.50,$16.50,A1 (per page)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,130,0,Up to 50 pages (including appendices etc),$414.00,$431.00,$431.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,130,0,50 to 100 pages (including appendices etc),$650.00,$680.00,$680.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,130,0,Over 100 pages (including appendices etc),$835.00,$870.00,$870.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,130,0,Up to 50 pages (including appendices etc),$875.00,$910.00,$910.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,130,0,50 to 100 pages (including appendices etc),"$1,310.00","$1,370.00","$1,370.00",
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,130,0,Over 100 pages (including appendices etc),"$1,630.00","$1,700.00","$1,700.00",
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,130,0,Up to 50 nodes / X-sections,"$1,040.00","$1,090.00","$1,090.00",
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,130,0,50 to 100 nodes / X-sections,"$1,810.00","$1,890.00","$1,890.00",
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,130,0,Over 100 nodes / X-sections,"$2,220.00","$2,310.00","$2,310.00",
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,131,0,Two dimensional flood models e.g. TUFLOW,Price on application,,,Price on application
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,131,0,Senior Engineer (per hour),$251.00,$238.18,$262.00,Senior Engineer (per hour)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,131,0,Engineer / Compliance Officer (per hour),$185.00,$175.45,$193.00,Engineer / Compliance Officer (per hour)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,131,0,Technical Officer (per hour),$135.00,$128.18,$141.00,Technical Officer (per hour)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,131,0,Residential development (per lot),$670.00,$700.00,$700.00,Residential development (per lot)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,131,0,Commercial and industrial development (per lot),$900.00,$940.00,$940.00,Commercial and industrial development (per lot)
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,131,0,"Per residential, commercial and industrial lot (each)",$255.00,$266.00,$266.00,"Per residential, commercial and industrial lot (each)"
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,131,0,Residential Development less than 0.5 Ha,$680.00,$710.00,$710.00,
Blacktown NSW - GSPS-202526-revised-12Aug2025.pdf,131,0,Residential Development more than 0.5 Ha,"$1,360.00","$1,420.00","$1,420.00",
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,Ref,Year 24/25,Year 25/26,,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,Truck with elevated work platform,$210.00,$216.00,$216.00,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,Truck,$90.50,$93.50,$93.50,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,Ute,$58.00,$60.00,$60.00,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,"Minimum hours payable for afterhours use of plant
(between 3:00 pm and 6:30 am)",4 hours minimum,,,"Minimum hours payable for afterhours use of plant
(between 3:00 pm and 6:30 am)"
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,Oil absorbent material per bag or per m²,$123.50,$127.00,$127.00,Oil absorbent material per bag or per m²
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,Sand backfill material (per tonne),$123.50,$127.00,$127.00,Sand backfill material (per tonne)
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,Road base backfill material (per tonne),$123.50,$127.00,$127.00,Road base backfill material (per tonne)
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,Trench temporary sealing material – per bucket,$235.50,$242.50,$242.50,Trench temporary sealing material – per bucket
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,Any other materials (per unit),Quote plus 15%,,,Any other materials (per unit)
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,"Barricade and light rental per barricade per day
(minimum weekly charge – Council to setup and
place)",$124.50,$128.00,$128.00,"Barricade and light rental per barricade per day
(minimum weekly charge – Council to setup and
place)"
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,"Water filled barrier rental per barrier per day
(minimum weekly charge – Council to setup and
place)",$55.50,$57.50,$57.50,"Water filled barrier rental per barrier per day
(minimum weekly charge – Council to setup and
place)"
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,"ArmorZone barrier with fencing rental per barrier
per day (minimum weekly charge – Council to
setup and place)",$69.50,$71.50,$71.50,"ArmorZone barrier with fencing rental per barrier
per day (minimum weekly charge – Council to
setup and place)"
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,"Temporary fencing rental per panel per day
(minimum weekly charge – Council to setup and
place)",$55.50,$57.50,$57.50,"Temporary fencing rental per panel per day
(minimum weekly charge – Council to setup and
place)"
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,"Steel road plates per plate per week (minimum
weekly charge – Council to setup and place)","$2,460.00","$2,530.00","$2,530.00","Steel road plates per plate per week (minimum
weekly charge – Council to setup and place)"
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,"Temporary kerb ramp per ramp per day (minimum
weekly charge – Council to setup and place)",$42.00,$43.50,$43.50,"Temporary kerb ramp per ramp per day (minimum
weekly charge – Council to setup and place)"
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,"Delivery and return of water filled barriers,
ArmorZone and temporary fencing – each way –
during business hours",$410.00,$422.00,$422.00,"Delivery and return of water filled barriers,
ArmorZone and temporary fencing – each way –
during business hours"
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,"Delivery and return of water filled barriers,
ArmorZone and temporary fencing – each way –
outside of business hours",$681.00,$701.00,$701.00,"Delivery and return of water filled barriers,
ArmorZone and temporary fencing – each way –
outside of business hours"
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,Flood Planning Level Enquiry,$649.00,$790.00,$790.00,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,17,0,"Application to carry out stormwater drainage work
(Section 138) refer to Asset Management Civil
Works","$1,280.00","$1,320.00","$1,320.00","Application to carry out stormwater drainage work
(Section 138) refer to Asset Management Civil
Works"
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,Ref,Year 24/25,Year 25/26,,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,"Gutter only – greater than 50 and less than 100
lineal metres",$404.00,$378.18,$416.00,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,"Gutter only – greater than 100 and less than 500
lineal metres",$370.00,$346.36,$381.00,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,Gutter only – greater than 500 lineal metres,Quote plus 15%,,,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,"Concrete layback and gutter – less than 15 lineal
metres",$721.00,$674.55,$742.00,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,"Concrete layback and gutter – greater than 15 and
less than 50 lineal metres",$637.00,$595.45,$655.00,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,"Concrete layback and gutter – greater than 50 and
less than 100 lineal metres",$554.00,$518.18,$570.00,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,"Concrete layback and gutter – greater than 100
lineal metres",Quote plus 15%,,,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,Concrete dish drain – less than 15 lineal metres,$806.00,$753.64,$829.00,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,"Concrete dish drain – greater than 15 and less than
50 lineal metres",$704.00,$658.18,$724.00,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,Concrete dish drain – greater than 50 lineal metres,Quote plus 15%,,,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,"Gutter Bridge Crossing with Hinged Heavy Duty
Steel Grating Per lineal metre (minimum of 4.5m)
opening","$1,640.00","$1,536.36","$1,690.00",
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,Kerb outlet PVC up to 100mm diameter,$352.00,$329.09,$362.00,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,"Line marking (air-atomised or airless application)
per metre",$117.00,$120.50,$120.50,
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,"Line marking (air-atomised or airless application)
set-up costs","$4,420.00","$4,545.00","$4,545.00",
Burwood NSW - Fees-and-Charges-2025-2026.pdf,63,0,Line marking (thermo-plastic) per metre,$185.00,$190.50,$190.50,
